G,AIC,WAIC,DIC1,DIC2,CV
0.2448172210838191,0.15046761359038285,0.05779570604557094,-0.028769819476467617,0.26356531289356333,0.05714267284446173
0.17493846957078318,0.27587654688541896,0.189333562475138,0.09642339898921293,0.26846406673926104,0.18823693540608488
0.10433932772673771,0.19048195190398864,0.08748652670984747,0.011245154673694913,0.5199029554417081,0.08668451992689086
0.024433761111794183,0.2027979858699389,0.15327867276009854,0.02395665917100054,0.5584732527858716,0.15120972205409977
0.1650780755531258,0.24171326920675895,0.13321074742270156,0.06230276341498531,0.1705886106431187,0.13288755078609427
0.4032512910422703,0.2600686940689183,0.17145866295465417,0.08084313908170415,0.3354746354765812,0.17017961268130755
0.3616648574547341,0.2769977344883774,0.26318326299420214,0.09813167620075802,4.447710270002409,0.25879968531222985
0.16838146932663633,0.18770211217602473,0.08578383213970575,0.008370375299142196,0.8096384003144106,0.08521414107158698
0.16635323479074415,0.32572440654940493,0.2997348663708692,0.14672475157185083,2.3584750816246274,0.2966734506306743
0.12216345327680322,0.21443471874592923,0.17104020276487297,0.03568735429305825,2.0997693386512637,0.17066759364381134
0.24290250552980908,0.2960690505949195,0.21063294792935316,0.117006542010051,1.16235706655843,0.2100654034189926
0.05375931471406936,0.1782255937023347,0.11580250740831488,-0.0006560702240054894,0.7284637729455046,0.11157348317349935
0.2311641307263539,0.2673235357089556,0.1966050442571987,0.08811111031073615,0.3806924908657212,0.19494140870711618
0.06606114103027139,0.20846319906616095,0.07832597289514709,0.02887562351616957,0.14794972397589667,0.07815180526701404
0.07379630445464258,0.20070448070565838,0.09394454591710577,0.02156312048006548,0.18837848372093013,0.09363807408915825
0.14664833235088004,0.25513254825584575,0.18340471402195035,0.07589989526178265,0.8125423816624107,0.1820326301038051
0.1431690804598187,0.26024845764532145,0.21958382283853162,0.08102254857748825,0.6014467285506182,0.2134526541126398
0.1341844919008537,0.20691114203993877,0.1202510511168633,0.027708760491126583,1.1642436629416295,0.11934037264576425
